id,name,artists,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri_right,track_href,analysis_url,duration_ms,time_signature
1rsiw9PsbKWSb1O2QGXMHy,Bulldozer,Swings,spotify:track:1rsiw9PsbKWSb1O2QGXMHy,0.663,0.912,4,-1.388,0,0.326,0.0829,0.0,0.128,0.717,149.202,audio_features,spotify:track:1rsiw9PsbKWSb1O2QGXMHy,https://api.spotify.com/v1/tracks/1rsiw9PsbKWSb1O2QGXMHy,https://api.spotify.com/v1/audio-analysis/1rsiw9PsbKWSb1O2QGXMHy,204800,4
2NCa2i9SAJ0dSm8QlUzEB9,Movie,PENOMECO,spotify:track:2NCa2i9SAJ0dSm8QlUzEB9,0.538,0.329,9,-7.583,1,0.15,0.594,0.0,0.228,0.509,91.793,audio_features,spotify:track:2NCa2i9SAJ0dSm8QlUzEB9,https://api.spotify.com/v1/tracks/2NCa2i9SAJ0dSm8QlUzEB9,https://api.spotify.com/v1/audio-analysis/2NCa2i9SAJ0dSm8QlUzEB9,210870,4
1E8Cztx0OIj4zm1IZh2XXj,Like A Fool,"NIve, Sam Kim",spotify:track:1E8Cztx0OIj4zm1IZh2XXj,0.496,0.491,9,-8.628,1,0.287,0.55,0.0,0.123,0.5,176.92,audio_features,spotify:track:1E8Cztx0OIj4zm1IZh2XXj,https://api.spotify.com/v1/tracks/1E8Cztx0OIj4zm1IZh2XXj,https://api.spotify.com/v1/audio-analysis/1E8Cztx0OIj4zm1IZh2XXj,214427,3
7LN1f9jAIu7yxBzsLMN7RB,넘어와 (Feat. 백예린),"DEAN, Yerin Baek",spotify:track:7LN1f9jAIu7yxBzsLMN7RB,0.496,0.63,6,-7.849,0,0.186,0.0747,0.0,0.638,0.318,168.225,audio_features,spotify:track:7LN1f9jAIu7yxBzsLMN7RB,https://api.spotify.com/v1/tracks/7LN1f9jAIu7yxBzsLMN7RB,https://api.spotify.com/v1/audio-analysis/7LN1f9jAIu7yxBzsLMN7RB,266137,4
1ouGYz9Qvou12hFOwYOV66,Dancing In The Rain,Rad Museum,spotify:track:1ouGYz9Qvou12hFOwYOV66,0.464,0.365,7,-9.582,0,0.0256,0.563,0.0,0.123,0.276,84.977,audio_features,spotify:track:1ouGYz9Qvou12hFOwYOV66,https://api.spotify.com/v1/tracks/1ouGYz9Qvou12hFOwYOV66,https://api.spotify.com/v1/audio-analysis/1ouGYz9Qvou12hFOwYOV66,203000,4
41L5gii5I5jv8nmKtPD3SD,New York (Prod by. brix),Yelloasis,spotify:track:41L5gii5I5jv8nmKtPD3SD,0.492,0.492,1,-6.526,0,0.0413,0.58,0.0,0.147,0.374,84.575,audio_features,spotify:track:41L5gii5I5jv8nmKtPD3SD,https://api.spotify.com/v1/tracks/41L5gii5I5jv8nmKtPD3SD,https://api.spotify.com/v1/audio-analysis/41L5gii5I5jv8nmKtPD3SD,208735,4
1IUYLTXo3j25EcqwRKXAyX,Motherfucker Pt. 2,JUSTHIS,spotify:track:1IUYLTXo3j25EcqwRKXAyX,0.432,0.773,1,-5.2,0,0.306,0.0465,0.0,0.54,0.367,92.678,audio_features,spotify:track:1IUYLTXo3j25EcqwRKXAyX,https://api.spotify.com/v1/tracks/1IUYLTXo3j25EcqwRKXAyX,https://api.spotify.com/v1/audio-analysis/1IUYLTXo3j25EcqwRKXAyX,239608,4
1WKgeavgwTZ4hnZVlMrteD,Where U At,"KillaGramz, DEAN, ZICO",spotify:track:1WKgeavgwTZ4hnZVlMrteD,0.706,0.799,8,-4.232,1,0.172,0.141,0.0,0.381,0.623,160.013,audio_features,spotify:track:1WKgeavgwTZ4hnZVlMrteD,https://api.spotify.com/v1/tracks/1WKgeavgwTZ4hnZVlMrteD,https://api.spotify.com/v1/audio-analysis/1WKgeavgwTZ4hnZVlMrteD,216226,4
0i2mhiiHucVjXuywKdLniL,Comme des Garçons,Jiwoo,spotify:track:0i2mhiiHucVjXuywKdLniL,0.713,0.221,10,-12.757,1,0.0463,0.818,0.0000172,0.0939,0.0494,119.933,audio_features,spotify:track:0i2mhiiHucVjXuywKdLniL,https://api.spotify.com/v1/tracks/0i2mhiiHucVjXuywKdLniL,https://api.spotify.com/v1/audio-analysis/0i2mhiiHucVjXuywKdLniL,298000,4
1aRgsJJJMIAaZgiOtGRMl0,2easy (feat. Heize),"NIve, HEIZE",spotify:track:1aRgsJJJMIAaZgiOtGRMl0,0.694,0.577,5,-6.693,0,0.0526,0.311,0.0000558,0.385,0.345,94.971,audio_features,spotify:track:1aRgsJJJMIAaZgiOtGRMl0,https://api.spotify.com/v1/tracks/1aRgsJJJMIAaZgiOtGRMl0,https://api.spotify.com/v1/audio-analysis/1aRgsJJJMIAaZgiOtGRMl0,219973,4
