id,name,artists,uri
7ne4VBA60CxGM75vw0EYad,That’s So True,Gracie Abrams,spotify:track:7ne4VBA60CxGM75vw0EYad
2plbrEY59IikOBgBGLjaoe,Die With A Smile,"Lady Gaga, Bruno Mars",spotify:track:2plbrEY59IikOBgBGLjaoe
1d7Ptw3qYcfpdLNL5REhtJ,Taste,Sabrina Carpenter,spotify:track:1d7Ptw3qYcfpdLNL5REhtJ
5vNRhkKd0yEAg8suGBpjeY,APT.,"ROSÉ, Bruno Mars",spotify:track:5vNRhkKd0yEAg8suGBpjeY
6dOtVTDdiauQNBQEDOtlAB,BIRDS OF A FEATHER,Billie Eilish,spotify:track:6dOtVTDdiauQNBQEDOtlAB
1Es7AUAhQvapIcoh3qMKDL,Timeless (with Playboi Carti),"The Weeknd, Playboi Carti",spotify:track:1Es7AUAhQvapIcoh3qMKDL
0WbMK4wrZ1wFSty9F7FCgu,"Good Luck, Babe!",Chappell Roan,spotify:track:0WbMK4wrZ1wFSty9F7FCgu
5N3hjp1WNayUPZrA8kJmJP,Please Please Please,Sabrina Carpenter,spotify:track:5N3hjp1WNayUPZrA8kJmJP
6MzofobZt2dm0Kf1hTThFz,Diet Pepsi,Addison Rae,spotify:track:6MzofobZt2dm0Kf1hTThFz
0UYnhUfnUj5adChuAXvLUB,Sailor Song,Gigi Perez,spotify:track:0UYnhUfnUj5adChuAXvLUB
3WOhcATHxK2SLNeP5W3v1v,Guess featuring billie eilish,"Charli xcx, Billie Eilish",spotify:track:3WOhcATHxK2SLNeP5W3v1v
19KlZwqlT3fguP2BeHF1Q1,Disease,Lady Gaga,spotify:track:19KlZwqlT3fguP2BeHF1Q1
3QaPy1KgI7nu9FJEQUgn6h,WILDFLOWER,Billie Eilish,spotify:track:3QaPy1KgI7nu9FJEQUgn6h
2FQrifJ1N335Ljm3TjTVVf,A Bar Song (Tipsy),Shaboozey,spotify:track:2FQrifJ1N335Ljm3TjTVVf
4xdBrk0nFZaP54vvZj0yx7,HOT TO GO!,Chappell Roan,spotify:track:4xdBrk0nFZaP54vvZj0yx7
5G345YEhvleYxQLfYUlEFv,Moonlit Floor (Kiss Me),LISA,spotify:track:5G345YEhvleYxQLfYUlEFv
0VaeksJaXy5R1nvcTMh3Xk,"Darling, I (feat. Teezo Touchdown)","Tyler, The Creator, Teezo Touchdown",spotify:track:0VaeksJaXy5R1nvcTMh3Xk
7hR22TOX3RorxJPcsz5Wbo,Love Somebody,Morgan Wallen,spotify:track:7hR22TOX3RorxJPcsz5Wbo
51rfRCiUSvxXlCSCfIztBy,"I Love You, I'm Sorry",Gracie Abrams,spotify:track:51rfRCiUSvxXlCSCfIztBy
7fzHQizxTqy8wTXwlrgPQQ,MILLION DOLLAR BABY,Tommy Richman,spotify:track:7fzHQizxTqy8wTXwlrgPQQ
24XihnoVPWXlKJ4BgXqjVM,It's ok I'm ok,Tate McRae,spotify:track:24XihnoVPWXlKJ4BgXqjVM
0xGQTpN4ESETtl1Sp6rzd2,São Paulo (feat. Anitta),"The Weeknd, Anitta",spotify:track:0xGQTpN4ESETtl1Sp6rzd2
1BJJbSX6muJVF2AK7uH1x4,Move,"Adam Port, Stryv, Keinemusik, Orso, Malachiii",spotify:track:1BJJbSX6muJVF2AK7uH1x4
0qeIFEGRQqHoaJtLCl0U73,DEGENERE 👑 (feat. benny blanco),"Myke Towers, benny blanco",spotify:track:0qeIFEGRQqHoaJtLCl0U73
2qSkIjg1o9h3YT9RAgYN75,Espresso,Sabrina Carpenter,spotify:track:2qSkIjg1o9h3YT9RAgYN75
7221xIgOnuakPdLqT0F3nP,I Had Some Help (Feat. Morgan Wallen),"Post Malone, Morgan Wallen",spotify:track:7221xIgOnuakPdLqT0F3nP
2CspwnypzT7rcWI9RfsoSb,Mantra,JENNIE,spotify:track:2CspwnypzT7rcWI9RfsoSb
2c7z5oRcPBbqRaBY2mLWcf,NEW DROP,Don Toliver,spotify:track:2c7z5oRcPBbqRaBY2mLWcf
51eSHglvG1RJXtL3qI5trr,Slow It Down,Benson Boone,spotify:track:51eSHglvG1RJXtL3qI5trr
3siwsiaEoU4Kuuc9WKMUy5,No One Noticed,The Marías,spotify:track:3siwsiaEoU4Kuuc9WKMUy5
1cOboCuWYI2osTOfolMRS6,Tu Boda,"Oscar Maydon, Fuerza Regida",spotify:track:1cOboCuWYI2osTOfolMRS6
4IadxL6BUymXlh8RCJJu7T,Too Sweet,Hozier,spotify:track:4IadxL6BUymXlh8RCJJu7T
4NJqhmkGN042BrvHoMKUrJ,Austin,Dasha,spotify:track:4NJqhmkGN042BrvHoMKUrJ
4q5YezDOIPcoLr8R81x9qy,I Can Do It With a Broken Heart,Taylor Swift,spotify:track:4q5YezDOIPcoLr8R81x9qy
3Vr3zh0r7ALn8VLqCiRR10,Stargazing,Myles Smith,spotify:track:3Vr3zh0r7ALn8VLqCiRR10
46kspZSY3aKmwQe7O77fCC,we can't be friends (wait for your love),Ariana Grande,spotify:track:46kspZSY3aKmwQe7O77fCC
17phhZDn6oGtzMe56NuWvj,Lose Control,Teddy Swims,spotify:track:17phhZDn6oGtzMe56NuWvj
